1121;  4 24  2.214879;  -34  1  0.67695;   3.97 
1123;  4 28 32.120746;  +1 22 50.97308;   5.53 
164;  4 28 37.000006;  +19 10 49.55874;   3.53 
1122;  4 29 51.937661;  +69 22 41.92505;   6.63 
167;  4 30 50.099557;  -44 57 13.50598;   5.07 
1124;  4 33 24.902996;  +43  3 50.01144;   6.09 
170;  4 35 33.038632;  -30 33 44.42880;   3.81 
1127;  4 40  6.801342;  -24 28 56.52686;   5.56 
1130;  4 42  3.480428;  -37  8 39.45333;   5.04 
177;  4 43  3.963328;  -70 55 51.69815;   5.53 
1131;  4 44  5.320313;  -8 30 12.86231;   5.78 
1132;  4 46 25.749497;  -28  5 14.80414;   6.18 
173;  4 48 50.352653;  +75 56 28.38546;   5.96 
1134;  4 49 50.411349;  +6 57 40.59610;   3.19 
1133;  4 49 54.638584;  +37 29 17.79622;   4.89 
1135;  4 51 22.462959;  +18 50 23.49354;   5.08 
1138;  4 55 11.201839;  -74 56 12.67211;   5.47 
181;  4 56 59.618904;  +33  9 57.93146;   2.69 
917;  4 58 50.964052;  -82 28 13.84700;   5.84 
1139;  5  2 22.804827;  -31 46 16.80044;   5.92 
184;  5  3  5.746446;  +21 35 23.86485;   4.62 
182;  5  3 25.089921;  +60 26 32.08287;   4.03 
1140;  5  4 34.148755;  +15 24 14.76887;   4.65 
187;  5  4 58.013907;  -49 34 40.21186;   5.05 
186;  5  5 27.666999;  -22 22 15.72867;   3.19 
189;  5  5 30.656034;  -57 28 21.72927;   4.71 
185;  5  6 30.892447;  +41 14  4.10891;   3.18 
1143;  5  7 25.926690;  -44 49 18.07882;   6.91 
188;  5  7 50.979551;  -5  5 11.24939;   2.78 
190;  5  9  8.783774;  -8 45 14.70229;   4.25 
1144;  5 12 55.900655;  -16 12 19.72412;   3.29 
196;  5 13 45.455224;  -67 11  6.91831;   4.81 
197;  5 17 29.088713;  -34 53 42.73871;   4.81 
1145;  5 19  8.474884;  +40  5 56.58526;   4.69 
199;  5 19 22.135134;  -50 36 21.48258;   5.44 
198;  5 19 23.684820;  -27 22  7.98777;   5.98 
1146;  5 19 34.525131;  -13 10 36.43286;   4.29 
201;  5 25  7.863395;  +6 20 58.93813;   1.64 
203;  5 30 10.201735;  +63  4  1.99152;   5.43 
1637;  5 31 48.140969;  +85 56 18.69982;   6.50 
1150;  5 32 33.800216;  +57 13 15.85334;   6.44 
210;  5 36 12.813388;  -1 12  6.91547;   1.69 
1153;  5 38  6.903979;  -27 12 38.69892;   6.53 
205;  5 39 43.705463;  +75  2 37.94162;   6.19 
1660;  5 39 59.153923;  -85 54 51.57885;   6.77 
1154;  5 44 46.378048;  -65 44  7.88188;   4.34 
219;  5 46 57.340684;  -14 49 19.01527;   3.55 
218;  5 47 26.195551;  +17 43 44.91009;   5.47 
220;  5 47 45.388870;  -9 40 10.57773;   2.07 
1155;  5 48 34.940411;  -4  5 40.72319;   5.97 
1156;  5 49 49.662386;  -56  9 59.99347;   4.50 
1159;  5 50 53.220737;  -52  6 31.93775;   5.16 
223;  5 50 57.592933;  -35 46  5.91230;   3.12 
222;  5 51 19.295453;  -20 52 44.71733;   3.76 
1157;  5 54 50.775535;  +55 42 25.00508;   4.96 
226;  5 56 24.293382;  -14 10  3.71240;   3.71 
229;  5 59  8.805604;  -42 48 54.48067;   3.96 
1162;  6  0 14.419841;  +33  8 12.95957;   6.84 
1638;  6  1 20.273408;  +85 10 55.60248;   6.17 
230;  6  4 58.359926;  +4  9 31.20993;   5.63 
1164;  6  6  5.538960;  -29 45 31.04528;   5.79 
1166;  6  8 44.261917;  -68 50 36.27361;   5.06 
239;  6 10 14.473258;  -74 45 10.96028;   5.08 
233;  6 12 51.062180;  +65 43  6.31610;   5.36 
1168;  6 15 22.688201;  +29 29 53.07900;   4.32 
238;  6 16 33.135317;  -35  8 25.86817;   4.37 
234;  6 18 50.779436;  +69 19 11.19977;   4.76 
243;  6 22 41.985000;  -17 57 21.29955;   1.98 
241;  6 22 57.626441;  +22 30 48.89911;   2.87 
245;  6 23 57.109295;  -52 41 44.38117;  -0.62 
1171;  6 24 10.320305;  -11 31 48.32188;   5.21 
242;  6 24 53.901495;  +49 17 16.41466;   4.92 
1172;  6 26 21.601260;  +41 57 34.24943;   7.07 
1662;  6 26 47.214064;  -88 44 37.30478;   7.36 
246;  6 27 57.569385;  -4 45 43.75056;   5.06 
1174;  6 32 54.228234;  +7 19 58.67671;   4.47 
1175;  6 33 37.921373;  -1 13 12.55970;   5.09 
247;  6 37 41.385924;  +61 28 52.44438;   5.94 
252;  6 37 45.671517;  -43 11 45.36228;   3.17 
250;  6 38 39.536956;  +39 23 27.06808;   5.70 
264;  6 40  2.887243;  -80 48 48.93464;   5.61 
254;  6 43 55.927306;  +25  7 52.05238;   3.06 
256;  6 45 17.364796;  +12 53 44.12872;   3.35 
1661;  6 46 58.575050;  -87  1 29.87867;   6.46 
1178;  6 47 21.400014;  -37 55 46.91725;   5.27 
1176;  6 47 39.579309;  +48 47 22.10457;   5.22 
1180;  6 49 50.459575;  -32 30 30.51582;   3.50 
267;  6 51 26.986621;  -70 57 48.28192;   5.41 
261;  6 52 47.339023;  +33 57 40.51419;   3.60 
259;  6 53 42.248453;  +68 53 17.91734;   5.11 
266;  6 54 11.398851;  -12  2 19.05445;   4.08 
260;  7  0  4.037565;  +76 58 38.66547;   4.55 
1182;  7  2 24.780504;  +24 12 55.60625;   5.20 
270;  7  3  1.472130;  -23 49 59.85104;   3.02 
271;  7  3 45.492735;  -15 37 59.82339;   4.11 
269;  7  4  6.531103;  +20 34 13.07550;   4.01 
1185;  7  7 49.489236;  +7 28 16.36409;   5.74 
273;  7  8 23.483904;  -26 23 35.51552;   1.83 
274;  7 11 39.326437;  +39 19 13.98355;   4.91 
275;  7 12 33.625663;  -46 45 33.49515;   4.49 
1190;  7 15 50.138960;  +47 14 23.86902;   5.54 
281;  7 16 49.824638;  -67 57 25.74605;   3.97 
276;  7 18  2.214403;  +40 53  0.21243;   5.87 
283;  7 24  5.702008;  -29 18 11.18216;   2.45 
1191;  7 24  8.466702;  +40 40 20.59738;   5.23 
282;  7 25 43.595568;  +27 47 53.08227;   3.78 
1193;  7 29 47.782401;  +12  0 23.62669;   4.55 
288;  7 34  3.180668;  -22 17 45.83540;   4.44 
1198;  7 35 39.722550;  -52 32  1.80975;   4.93 
1195;  7 36 31.634234;  +46 10 49.03255;   5.66 
1197;  7 36 41.034278;  -19 42  8.42883;   5.69 
909;  7 40 30.553630;  +87  1 12.30643;   5.05 
293;  7 41 14.832589;  -9 33  4.06700;   3.94 
1202;  7 45 56.869897;  -14 33 49.69983;   5.03 
1201;  7 46 16.201033;  +10 46  5.70333;   5.25 
1199;  7 46 39.280417;  +37 31  2.62610;   5.15 
1205;  7 51 41.988560;  +1 46  0.72807;   5.12 
299;  7 54 42.697179;  +47 33 52.54238;   5.47 
1208;  7 56 59.452574;  +15 47 25.01405;   5.80 
1210;  7 57 40.106240;  -30 20  4.45331;   4.76 
1209;  7 58 16.564013;  +43 58 38.54702;   6.36 
304;  7 59 44.153155;  -3 40 46.49877;   4.93 
1212;  7 59 52.053655;  -18 23 57.24475;   4.61 
300;  8  0 11.738535;  +73 55  4.50677;   5.37 
1211;  8  0 55.872694;  +25 23 34.21356;   5.87 
1213;  8  2 25.968924;  -6 20 13.69094;   6.34 
306;  8  3 35.046988;  -40  0 11.33501;   2.21 
1215;  8 12 48.787212;  +68 28 26.66213;   5.34 
311;  8 13 19.967139;  -15 47 17.60180;   4.99 
1639;  8 16 53.907282;  +84  3 27.50855;   6.45 
313;  8 18 33.312972;  -36 39 33.44043;   4.44 
1218;  8 19 15.082630;  -10  9 56.70170;   6.31 
310;  8 19 32.290147;  +75 45 24.86697;   5.55 
1217;  8 20  3.860898;  +27 13  3.73707;   5.13 
1219;  8 21 23.026593;  -33  3 15.71214;   4.83 
314;  8 22 50.110627;  +43 11 17.28585;   4.25 
316;  8 25 39.631976;  -3 54 23.11841;   3.91 
319;  8 25 44.194669;  -66  8 12.80431;   3.77 
1222;  8 28 37.339495;  +14 12 38.97343;   5.94 
321;  8 32 42.496173;  +20 26 28.19051;   5.33 
320;  8 32 54.979059;  +38  0 58.93199;   5.88 
324;  8 37 38.633050;  -42 59 20.68900;   4.11 
1223;  8 37 39.367574;  +5 42 13.61915;   4.14 
